year,team_full,league,team_wins,team_losses,team_ties,team
1977,Montreal Expos,NL,75,87,0,MON
1978,Atlanta Braves,NL,69,93,0,ATL
1978,Baltimore Orioles,AL,90,71,0,BAL
1978,Boston Red Sox,AL,99,64,0,BOS
1978,Chicago Cubs,NL,79,83,0,CHC
1978,Chicago White Sox,AL,71,90,0,CHW
1978,Cincinnati Reds,NL,92,69,0,CIN
1978,Cleveland Indians,AL,69,90,0,CLE
1978,Detroit Tigers,AL,86,76,0,DET
1978,Houston Astros,NL,74,88,0,HOU
1978,Kansas City Royals,AL,92,70,0,KCR
1978,California Angels,AL,87,75,0,CAL
1978,Los Angeles Dodgers,NL,95,67,0,LAD
1978,Milwaukee Brewers,AL,93,69,0,MIL
1978,Minnesota Twins,AL,73,89,0,MIN
1978,New York Mets,NL,66,96,0,NYM
1978,New York Yankees,AL,100,63,0,NYY
1978,Oakland Athletics,AL,69,93,0,OAK
1978,Philadelphia Phillies,NL,90,72,0,PHI
1978,Pittsburgh Pirates,NL,88,73,0,PIT
1978,San Diego Padres,NL,84,78,0,SDP
1978,San Francisco Giants,NL,89,73,0,SFG
1978,Seattle Mariners,AL,56,104,0,SEA
1978,St. Louis Cardinals,NL,69,93,0,STL
1978,Texas Rangers,AL,87,75,0,TEX
1978,Toronto Blue Jays,AL,59,102,0,TOR
1978,Montreal Expos,NL,76,86,0,MON
1979,Atlanta Braves,NL,66,94,0,ATL
1979,Baltimore Orioles,AL,102,57,0,BAL
1979,Boston Red Sox,AL,91,69,0,BOS
1979,Chicago Cubs,NL,80,82,0,CHC
1979,Chicago White Sox,AL,73,87,0,CHW
1979,Cincinnati Reds,NL,90,71,0,CIN
1979,Cleveland Indians,AL,81,80,0,CLE
1979,Detroit Tigers,AL,85,76,0,DET
1979,Houston Astros,NL,89,73,0,HOU
1979,Kansas City Royals,AL,85,77,0,KCR
1979,California Angels,AL,88,74,0,CAL
1979,Los Angeles Dodgers,NL,79,83,0,LAD
1979,Milwaukee Brewers,AL,95,66,0,MIL
1979,Minnesota Twins,AL,82,80,0,MIN
1979,New York Mets,NL,63,99,1,NYM
1979,New York Yankees,AL,89,71,0,NYY
1979,Oakland Athletics,AL,54,108,0,OAK
1979,Philadelphia Phillies,NL,84,78,1,PHI
1979,Pittsburgh Pirates,NL,98,64,1,PIT
1979,San Diego Padres,NL,68,93,0,SDP
1979,San Francisco Giants,NL,71,91,0,SFG
1979,Seattle Mariners,AL,67,95,0,SEA
1979,St. Louis Cardinals,NL,86,76,1,STL
1979,Texas Rangers,AL,83,79,0,TEX
1979,Toronto Blue Jays,AL,53,109,0,TOR
1979,Montreal Expos,NL,95,65,0,MON
1980,Atlanta Braves,NL,81,80,0,ATL
1980,Baltimore Orioles,AL,100,62,0,BAL
1980,Boston Red Sox,AL,83,77,0,BOS
1980,Chicago Cubs,NL,64,98,0,CHC
1980,Chicago White Sox,AL,70,90,2,CHW
1980,Cincinnati Reds,NL,89,73,1,CIN
1980,Cleveland Indians,AL,79,81,0,CLE
1980,Detroit Tigers,AL,84,78,1,DET
1980,Houston Astros,NL,93,70,0,HOU
1980,Kansas City Royals,AL,97,65,0,KCR
1980,California Angels,AL,65,95,0,CAL
1980,Los Angeles Dodgers,NL,92,71,0,LAD
1980,Milwaukee Brewers,AL,86,76,0,MIL
1980,Minnesota Twins,AL,77,84,0,MIN
1980,New York Mets,NL,67,95,0,NYM
1980,New York Yankees,AL,103,59,0,NYY
1980,Oakland Athletics,AL,83,79,0,OAK
1980,Philadelphia Phillies,NL,91,71,0,PHI
1980,Pittsburgh Pirates,NL,83,79,0,PIT
1980,San Diego Padres,NL,73,89,1,SDP
1980,San Francisco Giants,NL,75,86,0,SFG
1980,Seattle Mariners,AL,59,103,1,SEA
1980,St. Louis Cardinals,NL,74,88,0,STL
1980,Texas Rangers,AL,76,85,2,TEX
1980,Toronto Blue Jays,AL,67,95,0,TOR
1980,Montreal Expos,NL,90,72,0,MON
1981,Atlanta Braves,NL,50,56,1,ATL
1981,Baltimore Orioles,AL,59,46,0,BAL
1981,Boston Red Sox,AL,59,49,0,BOS
1981,Chicago Cubs,NL,38,65,3,CHC
1981,Chicago White Sox,AL,54,52,0,CHW
1981,Cincinnati Reds,NL,66,42,0,CIN
1981,Cleveland Indians,AL,52,51,0,CLE
1981,Detroit Tigers,AL,60,49,0,DET
1981,Houston Astros,NL,61,49,0,HOU
1981,Kansas City Royals,AL,50,53,0,KCR
1981,California Angels,AL,51,59,0,CAL
1981,Los Angeles Dodgers,NL,63,47,0,LAD
1981,Milwaukee Brewers,AL,62,47,0,MIL
1981,Minnesota Twins,AL,41,68,1,MIN
1981,New York Mets,NL,41,62,2,NYM
1981,New York Yankees,AL,59,48,0,NYY
1981,Oakland Athletics,AL,64,45,0,OAK
1981,Philadelphia Phillies,NL,59,48,0,PHI
1981,Pittsburgh Pirates,NL,46,56,1,PIT
1981,San Diego Padres,NL,41,69,0,SDP
1981,San Francisco Giants,NL,56,55,0,SFG
1981,Seattle Mariners,AL,44,65,1,SEA
1981,St. Louis Cardinals,NL,59,43,1,STL
1981,Texas Rangers,AL,57,48,0,TEX
1981,Toronto Blue Jays,AL,37,69,0,TOR
1981,Montreal Expos,NL,60,48,0,MON
1982,Atlanta Braves,NL,89,73,0,ATL
1982,Baltimore Orioles,AL,94,68,1,BAL
1982,Boston Red Sox,AL,89,73,0,BOS
1982,Chicago Cubs,NL,73,89,0,CHC
1982,Chicago White Sox,AL,87,75,0,CHW
1982,Cincinnati Reds,NL,61,101,0,CIN
1982,Cleveland Indians,AL,78,84,0,CLE
1982,Detroit Tigers,AL,83,79,0,DET
1982,Houston Astros,NL,77,85,0,HOU
1982,Kansas City Royals,AL,90,72,0,KCR
1982,California Angels,AL,93,69,0,CAL
1982,Los Angeles Dodgers,NL,88,74,0,LAD
1982,Milwaukee Brewers,AL,95,67,1,MIL
1982,Minnesota Twins,AL,60,102,0,MIN
1982,New York Mets,NL,65,97,0,NYM
1982,New York Yankees,AL,79,83,0,NYY
1982,Oakland Athletics,AL,68,94,0,OAK
1982,Philadelphia Phillies,NL,89,73,0,PHI
1982,Pittsburgh Pirates,NL,84,78,0,PIT
1982,San Diego Padres,NL,81,81,0,SDP
1982,San Francisco Giants,NL,87,75,0,SFG
1982,Seattle Mariners,AL,76,86,0,SEA
1982,St. Louis Cardinals,NL,92,70,0,STL
1982,Texas Rangers,AL,64,98,0,TEX
1982,Toronto Blue Jays,AL,78,84,0,TOR
1982,Montreal Expos,NL,86,76,0,MON
1983,Atlanta Braves,NL,88,74,0,ATL
1983,Baltimore Orioles,AL,98,64,0,BAL
1983,Boston Red Sox,AL,78,84,0,BOS
1983,Chicago Cubs,NL,71,91,0,CHC
1983,Chicago White Sox,AL,99,63,0,CHW
1983,Cincinnati Reds,NL,74,88,0,CIN
1983,Cleveland Indians,AL,70,92,0,CLE
1983,Detroit Tigers,AL,92,70,0,DET
1983,Houston Astros,NL,85,77,0,HOU
1983,Kansas City Royals,AL,79,83,1,KCR
1983,California Angels,AL,70,92,0,CAL
1983,Los Angeles Dodgers,NL,91,71,1,LAD
1983,Milwaukee Brewers,AL,87,75,0,MIL
1983,Minnesota Twins,AL,70,92,0,MIN
1983,New York Mets,NL,68,94,0,NYM
1983,New York Yankees,AL,91,71,0,NYY
1983,Oakland Athletics,AL,74,88,0,OAK
1983,Philadelphia Phillies,NL,90,72,1,PHI
1983,Pittsburgh Pirates,NL,84,78,0,PIT
1983,San Diego Padres,NL,81,81,1,SDP
1983,San Francisco Giants,NL,79,83,0,SFG
1983,Seattle Mariners,AL,60,102,0,SEA
1983,St. Louis Cardinals,NL,79,83,0,STL
1983,Texas Rangers,AL,77,85,1,TEX
1983,Toronto Blue Jays,AL,89,73,0,TOR
1983,Montreal Expos,NL,82,80,1,MON
1984,Atlanta Braves,NL,80,82,0,ATL
1984,Baltimore Orioles,AL,85,77,0,BAL
1984,Boston Red Sox,AL,86,76,0,BOS
1984,Chicago Cubs,NL,96,65,0,CHC
1984,Chicago White Sox,AL,74,88,0,CHW
1984,Cincinnati Reds,NL,70,92,0,CIN
1984,Cleveland Indians,AL,75,87,1,CLE
1984,Detroit Tigers,AL,104,58,0,DET
1984,Houston Astros,NL,80,82,0,HOU
1984,Kansas City Royals,AL,84,78,0,KCR
1984,California Angels,AL,81,81,0,CAL
1984,Los Angeles Dodgers,NL,79,83,0,LAD
1984,Milwaukee Brewers,AL,67,94,0,MIL
1984,Minnesota Twins,AL,81,81,0,MIN
1984,New York Mets,NL,90,72,0,NYM
1984,New York Yankees,AL,87,75,0,NYY
1984,Oakland Athletics,AL,77,85,0,OAK
1984,Philadelphia Phillies,NL,81,81,0,PHI
1984,Pittsburgh Pirates,NL,75,87,0,PIT
1984,San Diego Padres,NL,92,70,0,SDP
1984,San Francisco Giants,NL,66,96,0,SFG
1984,Seattle Mariners,AL,74,88,0,SEA
1984,St. Louis Cardinals,NL,84,78,0,STL
1984,Texas Rangers,AL,69,92,0,TEX
1984,Toronto Blue Jays,AL,89,73,1,TOR
1984,Montreal Expos,NL,78,83,0,MON
1985,Atlanta Braves,NL,66,96,0,ATL
1985,Baltimore Orioles,AL,83,78,0,BAL
1985,Boston Red Sox,AL,81,81,1,BOS
1985,Chicago Cubs,NL,77,84,1,CHC
1985,Chicago White Sox,AL,85,77,1,CHW
1985,Cincinnati Reds,NL,89,72,1,CIN
1985,Cleveland Indians,AL,60,102,0,CLE
1985,Detroit Tigers,AL,84,77,0,DET
1985,Houston Astros,NL,83,79,0,HOU
1985,Kansas City Royals,AL,91,71,0,KCR
1985,California Angels,AL,90,72,0,CAL
1985,Los Angeles Dodgers,NL,95,67,0,LAD
1985,Milwaukee Brewers,AL,71,90,0,MIL
1985,Minnesota Twins,AL,77,85,0,MIN
1985,New York Mets,NL,98,64,0,NYM
1985,New York Yankees,AL,97,64,0,NYY
1985,Oakland Athletics,AL,77,85,0,OAK
1985,Philadelphia Phillies,NL,75,87,0,PHI
1985,Pittsburgh Pirates,NL,57,104,0,PIT
1985,San Diego Padres,NL,83,79,0,SDP
1985,San Francisco Giants,NL,62,100,0,SFG
1985,Seattle Mariners,AL,74,88,0,SEA
1985,St. Louis Cardinals,NL,101,61,0,STL
1985,Texas Rangers,AL,62,99,0,TEX
1985,Toronto Blue Jays,AL,99,62,0,TOR
1985,Montreal Expos,NL,84,77,0,MON
1986,Atlanta Braves,NL,72,89,0,ATL
1986,Baltimore Orioles,AL,73,89,0,BAL
1986,Boston Red Sox,AL,95,66,0,BOS
1986,Chicago Cubs,NL,70,90,0,CHC
1986,Chicago White Sox,AL,72,90,0,CHW
1986,Cincinnati Reds,NL,86,76,0,CIN
1986,Cleveland Indians,AL,84,78,1,CLE
1986,Detroit Tigers,AL,87,75,0,DET
1986,Houston Astros,NL,96,66,0,HOU
1986,Kansas City Royals,AL,76,86,0,KCR
1986,California Angels,AL,92,70,0,CAL
1986,Los Angeles Dodgers,NL,73,89,0,LAD
1986,Milwaukee Brewers,AL,77,84,0,MIL
1986,Minnesota Twins,AL,71,91,0,MIN
1986,New York Mets,NL,108,54,0,NYM
1986,New York Yankees,AL,90,72,0,NYY
1986,Oakland Athletics,AL,76,86,0,OAK
1986,Philadelphia Phillies,NL,86,75,0,PHI
1986,Pittsburgh Pirates,NL,64,98,0,PIT
1986,San Diego Padres,NL,74,88,0,SDP
1986,San Francisco Giants,NL,83,79,0,SFG
1986,Seattle Mariners,AL,67,95,0,SEA
1986,St. Louis Cardinals,NL,79,82,0,STL
1986,Texas Rangers,AL,87,75,0,TEX
1986,Toronto Blue Jays,AL,86,76,1,TOR
1986,Montreal Expos,NL,78,83,0,MON
1987,Atlanta Braves,NL,69,92,0,ATL
1987,Baltimore Orioles,AL,67,95,0,BAL
1987,Boston Red Sox,AL,78,84,0,BOS
1987,Chicago Cubs,NL,76,85,0,CHC
1987,Chicago White Sox,AL,77,85,0,CHW
1987,Cincinnati Reds,NL,84,78,0,CIN
1987,Cleveland Indians,AL,61,101,0,CLE
1987,Detroit Tigers,AL,98,64,0,DET
1987,Houston Astros,NL,76,86,0,HOU
1987,Kansas City Royals,AL,83,79,0,KCR
1987,California Angels,AL,75,87,0,CAL
1987,Los Angeles Dodgers,NL,73,89,0,LAD
1987,Milwaukee Brewers,AL,91,71,0,MIL
1987,Minnesota Twins,AL,85,77,0,MIN
1987,New York Mets,NL,92,70,0,NYM
1987,New York Yankees,AL,89,73,0,NYY
1987,Oakland Athletics,AL,81,81,0,OAK
1987,Philadelphia Phillies,NL,80,82,0,PHI
1987,Pittsburgh Pirates,NL,80,82,0,PIT
1987,San Diego Padres,NL,65,97,0,SDP
1987,San Francisco Giants,NL,90,72,0,SFG
1987,Seattle Mariners,AL,78,84,0,SEA
1987,St. Louis Cardinals,NL,95,67,0,STL
1987,Texas Rangers,AL,75,87,0,TEX
1987,Toronto Blue Jays,AL,96,66,0,TOR
1987,Montreal Expos,NL,91,71,0,MON
1988,Atlanta Braves,NL,54,106,0,ATL
1988,Baltimore Orioles,AL,54,107,0,BAL
1988,Boston Red Sox,AL,89,73,0,BOS
1988,Chicago Cubs,NL,77,85,1,CHC
1988,Chicago White Sox,AL,71,90,0,CHW
1988,Cincinnati Reds,NL,87,74,0,CIN
1988,Cleveland Indians,AL,78,84,0,CLE
1988,Detroit Tigers,AL,88,74,0,DET
1988,Houston Astros,NL,82,80,0,HOU
1988,Kansas City Royals,AL,84,77,0,KCR
1988,California Angels,AL,75,87,0,CAL
1988,Los Angeles Dodgers,NL,94,67,1,LAD
1988,Milwaukee Brewers,AL,87,75,0,MIL
1988,Minnesota Twins,AL,91,71,0,MIN
1988,New York Mets,NL,100,60,0,NYM
1988,New York Yankees,AL,85,76,0,NYY
1988,Oakland Athletics,AL,104,58,0,OAK
1988,Philadelphia Phillies,NL,65,96,1,PHI
1988,Pittsburgh Pirates,NL,85,75,0,PIT
1988,San Diego Padres,NL,83,78,0,SDP
1988,San Francisco Giants,NL,83,79,0,SFG
1988,Seattle Mariners,AL,68,93,0,SEA
1988,St. Louis Cardinals,NL,76,86,0,STL
1988,Texas Rangers,AL,70,91,0,TEX
1988,Toronto Blue Jays,AL,87,75,0,TOR
1988,Montreal Expos,NL,81,81,1,MON
1989,Atlanta Braves,NL,63,97,1,ATL
1989,Baltimore Orioles,AL,87,75,0,BAL
1989,Boston Red Sox,AL,83,79,0,BOS
1989,Chicago Cubs,NL,93,69,0,CHC
1989,Chicago White Sox,AL,69,92,0,CHW
1989,Cincinnati Reds,NL,75,87,0,CIN
1989,Cleveland Indians,AL,73,89,0,CLE
1989,Detroit Tigers,AL,59,103,0,DET
1989,Houston Astros,NL,86,76,0,HOU
1989,Kansas City Royals,AL,92,70,0,KCR
1989,California Angels,AL,91,71,0,CAL
1989,Los Angeles Dodgers,NL,77,83,0,LAD
1989,Milwaukee Brewers,AL,81,81,0,MIL
1989,Minnesota Twins,AL,80,82,0,MIN
1989,New York Mets,NL,87,75,0,NYM
1989,New York Yankees,AL,74,87,0,NYY
1989,Oakland Athletics,AL,99,63,0,OAK
1989,Philadelphia Phillies,NL,67,95,1,PHI
1989,Pittsburgh Pirates,NL,74,88,2,PIT
1989,San Diego Padres,NL,89,73,0,SDP
1989,San Francisco Giants,NL,92,70,0,SFG
1989,Seattle Mariners,AL,73,89,0,SEA
1989,St. Louis Cardinals,NL,86,76,2,STL
1989,Texas Rangers,AL,83,79,0,TEX
1989,Toronto Blue Jays,AL,89,73,0,TOR
1989,Montreal Expos,NL,81,81,0,MON
1990,Atlanta Braves,NL,65,97,0,ATL
1990,Baltimore Orioles,AL,76,85,0,BAL
1990,Boston Red Sox,AL,88,74,0,BOS
1990,Chicago Cubs,NL,77,85,0,CHC
1990,Chicago White Sox,AL,94,68,0,CHW
1990,Cincinnati Reds,NL,91,71,0,CIN
1990,Cleveland Indians,AL,77,85,0,CLE
1990,Detroit Tigers,AL,79,83,0,DET
1990,Houston Astros,NL,75,87,0,HOU
1990,Kansas City Royals,AL,75,86,0,KCR
1990,California Angels,AL,80,82,0,CAL
1990,Los Angeles Dodgers,NL,86,76,0,LAD
1990,Milwaukee Brewers,AL,74,88,0,MIL
1990,Minnesota Twins,AL,74,88,0,MIN
1990,New York Mets,NL,91,71,0,NYM
1990,New York Yankees,AL,67,95,0,NYY
1990,Oakland Athletics,AL,103,59,0,OAK
1990,Philadelphia Phillies,NL,77,85,0,PHI
1990,Pittsburgh Pirates,NL,95,67,0,PIT
1990,San Diego Padres,NL,75,87,0,SDP
1990,San Francisco Giants,NL,85,77,0,SFG
1990,Seattle Mariners,AL,77,85,0,SEA
1990,St. Louis Cardinals,NL,70,92,0,STL
1990,Texas Rangers,AL,83,79,0,TEX
1990,Toronto Blue Jays,AL,86,76,0,TOR
1990,Montreal Expos,NL,85,77,0,MON
1991,Atlanta Braves,NL,94,68,0,ATL
1991,Baltimore Orioles,AL,67,95,0,BAL
1991,Boston Red Sox,AL,84,78,0,BOS
1991,Chicago Cubs,NL,77,83,0,CHC
1991,Chicago White Sox,AL,87,75,0,CHW
1991,Cincinnati Reds,NL,74,88,0,CIN
1991,Cleveland Indians,AL,57,105,0,CLE
1991,Detroit Tigers,AL,84,78,0,DET
1991,Houston Astros,NL,65,97,0,HOU
1991,Kansas City Royals,AL,82,80,0,KCR
1991,California Angels,AL,81,81,0,CAL
1991,Los Angeles Dodgers,NL,93,69,0,LAD
1991,Milwaukee Brewers,AL,83,79,0,MIL
1991,Minnesota Twins,AL,95,67,0,MIN
1991,New York Mets,NL,77,84,0,NYM
1991,New York Yankees,AL,71,91,0,NYY
1991,Oakland Athletics,AL,84,78,0,OAK
1991,Philadelphia Phillies,NL,78,84,0,PHI
1991,Pittsburgh Pirates,NL,98,64,0,PIT
1991,San Diego Padres,NL,84,78,0,SDP
1991,San Francisco Giants,NL,75,87,0,SFG
1991,Seattle Mariners,AL,83,79,0,SEA
1991,St. Louis Cardinals,NL,84,78,0,STL
1991,Texas Rangers,AL,85,77,0,TEX
1991,Toronto Blue Jays,AL,91,71,0,TOR
1991,Montreal Expos,NL,71,90,0,MON
1992,Atlanta Braves,NL,98,64,0,ATL
1992,Baltimore Orioles,AL,89,73,0,BAL
1992,Boston Red Sox,AL,73,89,0,BOS
1992,Chicago Cubs,NL,78,84,0,CHC
1992,Chicago White Sox,AL,86,76,0,CHW
1992,Cincinnati Reds,NL,90,72,0,CIN
1992,Cleveland Indians,AL,76,86,0,CLE
1992,Detroit Tigers,AL,75,87,0,DET
1992,Houston Astros,NL,81,81,0,HOU
1992,Kansas City Royals,AL,72,90,0,KCR
1992,California Angels,AL,72,90,0,CAL
1992,Los Angeles Dodgers,NL,63,99,0,LAD
1992,Milwaukee Brewers,AL,92,70,0,MIL
1992,Minnesota Twins,AL,90,72,0,MIN
1992,New York Mets,NL,72,90,0,NYM
1992,New York Yankees,AL,76,86,0,NYY
1992,Oakland Athletics,AL,96,66,0,OAK
1992,Philadelphia Phillies,NL,70,92,0,PHI
1992,Pittsburgh Pirates,NL,96,66,0,PIT
1992,San Diego Padres,NL,82,80,0,SDP
1992,San Francisco Giants,NL,72,90,0,SFG
1992,Seattle Mariners,AL,64,98,0,SEA
1992,St. Louis Cardinals,NL,83,79,0,STL
1992,Texas Rangers,AL,77,85,0,TEX
1992,Toronto Blue Jays,AL,96,66,0,TOR
1992,Montreal Expos,NL,87,75,0,MON
1993,Atlanta Braves,NL,104,58,0,ATL
1993,Baltimore Orioles,AL,85,77,0,BAL
1993,Boston Red Sox,AL,80,82,0,BOS
1993,Chicago Cubs,NL,84,78,1,CHC
1993,Chicago White Sox,AL,94,68,0,CHW
1993,Cincinnati Reds,NL,73,89,0,CIN
1993,Cleveland Indians,AL,76,86,0,CLE
1993,Colorado Rockies,NL,67,95,0,COL
1993,Detroit Tigers,AL,85,77,0,DET
1993,Houston Astros,NL,85,77,0,HOU
1993,Kansas City Royals,AL,84,78,0,KCR
1993,California Angels,AL,71,91,0,CAL
1993,Los Angeles Dodgers,NL,81,81,0,LAD
1993,Florida Marlins,NL,64,98,0,FLA
1993,Milwaukee Brewers,AL,69,93,0,MIL
1993,Minnesota Twins,AL,71,91,0,MIN
1993,New York Mets,NL,59,103,0,NYM
1993,New York Yankees,AL,88,74,0,NYY
1993,Oakland Athletics,AL,68,94,0,OAK
1993,Philadelphia Phillies,NL,97,65,0,PHI
1993,Pittsburgh Pirates,NL,75,87,0,PIT
1993,San Diego Padres,NL,61,101,0,SDP
1993,San Francisco Giants,NL,103,59,0,SFG
1993,Seattle Mariners,AL,82,80,0,SEA
1993,St. Louis Cardinals,NL,87,75,0,STL
1993,Texas Rangers,AL,86,76,0,TEX
1993,Toronto Blue Jays,AL,95,67,0,TOR
1993,Montreal Expos,NL,94,68,1,MON
1994,Atlanta Braves,NL,68,46,0,ATL
1994,Baltimore Orioles,AL,63,49,0,BAL
1994,Boston Red Sox,AL,54,61,0,BOS
1994,Chicago Cubs,NL,49,64,0,CHC
1994,Chicago White Sox,AL,67,46,0,CHW
1994,Cincinnati Reds,NL,66,48,1,CIN
1994,Cleveland Indians,AL,66,47,0,CLE
1994,Colorado Rockies,NL,53,64,0,COL
1994,Detroit Tigers,AL,53,62,0,DET
1994,Houston Astros,NL,66,49,0,HOU
1994,Kansas City Royals,AL,64,51,0,KCR
1994,California Angels,AL,47,68,0,CAL
1994,Los Angeles Dodgers,NL,58,56,0,LAD
1994,Florida Marlins,NL,51,64,0,FLA
1994,Milwaukee Brewers,AL,53,62,0,MIL
1994,Minnesota Twins,AL,53,60,0,MIN
1994,New York Mets,NL,55,58,0,NYM
1994,New York Yankees,AL,70,43,0,NYY
1994,Oakland Athletics,AL,51,63,0,OAK
1994,Philadelphia Phillies,NL,54,61,0,PHI
1994,Pittsburgh Pirates,NL,53,61,0,PIT
1994,San Diego Padres,NL,47,70,0,SDP
1994,San Francisco Giants,NL,55,60,0,SFG
1994,Seattle Mariners,AL,49,63,0,SEA
1994,St. Louis Cardinals,NL,53,61,1,STL
1994,Texas Rangers,AL,52,62,0,TEX
1994,Toronto Blue Jays,AL,55,60,0,TOR
1994,Montreal Expos,NL,74,40,0,MON
1995,Atlanta Braves,NL,90,54,0,ATL
1995,Baltimore Orioles,AL,71,73,0,BAL
1995,Boston Red Sox,AL,86,58,0,BOS
1995,Chicago Cubs,NL,73,71,0,CHC
1995,Chicago White Sox,AL,68,76,1,CHW
1995,Cincinnati Reds,NL,85,59,0,CIN
1995,Cleveland Indians,AL,100,44,0,CLE
1995,Colorado Rockies,NL,77,67,0,COL
1995,Detroit Tigers,AL,60,84,0,DET
1995,Houston Astros,NL,76,68,0,HOU
1995,Kansas City Royals,AL,70,74,0,KCR
1995,California Angels,AL,78,67,0,CAL
1995,Los Angeles Dodgers,NL,78,66,0,LAD
1995,Florida Marlins,NL,67,76,0,FLA
1995,Milwaukee Brewers,AL,65,79,0,MIL
1995,Minnesota Twins,AL,56,88,0,MIN
1995,New York Mets,NL,69,75,0,NYM
1995,New York Yankees,AL,79,65,1,NYY
1995,Oakland Athletics,AL,67,77,0,OAK
1995,Philadelphia Phillies,NL,69,75,0,PHI
1995,Pittsburgh Pirates,NL,58,86,0,PIT
1995,San Diego Padres,NL,70,74,0,SDP
1995,San Francisco Giants,NL,67,77,0,SFG
1995,Seattle Mariners,AL,79,66,0,SEA
1995,St. Louis Cardinals,NL,62,81,0,STL
1995,Texas Rangers,AL,74,70,0,TEX
1995,Toronto Blue Jays,AL,56,88,0,TOR
1995,Montreal Expos,NL,66,78,0,MON
1996,Atlanta Braves,NL,96,66,0,ATL
1996,Baltimore Orioles,AL,88,74,1,BAL
1996,Boston Red Sox,AL,85,77,0,BOS
1996,Chicago Cubs,NL,76,86,0,CHC
1996,Chicago White Sox,AL,85,77,0,CHW
1996,Cincinnati Reds,NL,81,81,0,CIN
1996,Cleveland Indians,AL,99,62,0,CLE
1996,Colorado Rockies,NL,83,79,0,COL
1996,Detroit Tigers,AL,53,109,0,DET
1996,Houston Astros,NL,82,80,0,HOU
1996,Kansas City Royals,AL,75,86,0,KCR
1996,California Angels,AL,70,91,0,CAL
1996,Los Angeles Dodgers,NL,90,72,0,LAD
1996,Florida Marlins,NL,80,82,0,FLA
1996,Milwaukee Brewers,AL,80,82,0,MIL
1996,Minnesota Twins,AL,78,84,0,MIN
1996,New York Mets,NL,71,91,0,NYM
1996,New York Yankees,AL,92,70,0,NYY
1996,Oakland Athletics,AL,78,84,0,OAK
1996,Philadelphia Phillies,NL,67,95,0,PHI
1996,Pittsburgh Pirates,NL,73,89,0,PIT
1996,San Diego Padres,NL,91,71,0,SDP
1996,San Francisco Giants,NL,68,94,0,SFG
1996,Seattle Mariners,AL,85,76,0,SEA
1996,St. Louis Cardinals,NL,88,74,0,STL
1996,Texas Rangers,AL,90,72,1,TEX
1996,Toronto Blue Jays,AL,74,88,0,TOR
1996,Montreal Expos,NL,88,74,0,MON
1997,Atlanta Braves,NL,101,61,0,ATL
1997,Baltimore Orioles,AL,98,64,0,BAL
1997,Boston Red Sox,AL,78,84,0,BOS
1997,Chicago Cubs,NL,68,94,0,CHC
1997,Chicago White Sox,AL,80,81,0,CHW
1997,Cincinnati Reds,NL,76,86,0,CIN
1997,Cleveland Indians,AL,86,75,0,CLE
1997,Colorado Rockies,NL,83,79,0,COL
1997,Detroit Tigers,AL,79,83,0,DET
1997,Houston Astros,NL,84,78,0,HOU
1997,Kansas City Royals,AL,67,94,0,KCR
1997,Anaheim Angels,AL,84,78,0,ANA
1997,Los Angeles Dodgers,NL,88,74,0,LAD
1997,Florida Marlins,NL,92,70,0,FLA
1997,Milwaukee Brewers,AL,78,83,0,MIL
1997,Minnesota Twins,AL,68,94,0,MIN
1997,New York Mets,NL,88,74,0,NYM
1997,New York Yankees,AL,96,66,0,NYY
1997,Oakland Athletics,AL,65,97,0,OAK
1997,Philadelphia Phillies,NL,68,94,0,PHI
1997,Pittsburgh Pirates,NL,79,83,0,PIT
1997,San Diego Padres,NL,76,86,0,SDP
1997,San Francisco Giants,NL,90,72,0,SFG
1997,Seattle Mariners,AL,90,72,0,SEA
1997,St. Louis Cardinals,NL,73,89,0,STL
1997,Texas Rangers,AL,77,85,0,TEX
1997,Toronto Blue Jays,AL,76,86,0,TOR
1997,Montreal Expos,NL,78,84,0,MON
1998,Arizona Diamondbacks,NL,65,97,0,ARI
1998,Atlanta Braves,NL,106,56,0,ATL
1998,Baltimore Orioles,AL,79,83,0,BAL
1998,Boston Red Sox,AL,92,70,0,BOS
1998,Chicago Cubs,NL,90,73,0,CHC
1998,Chicago White Sox,AL,80,82,1,CHW
1998,Cincinnati Reds,NL,77,85,0,CIN
1998,Cleveland Indians,AL,89,73,0,CLE
1998,Colorado Rockies,NL,77,85,0,COL
1998,Detroit Tigers,AL,65,97,0,DET
1998,Houston Astros,NL,102,60,0,HOU
1998,Kansas City Royals,AL,72,89,0,KCR
1998,Anaheim Angels,AL,85,77,0,ANA
1998,Los Angeles Dodgers,NL,83,79,0,LAD
1998,Florida Marlins,NL,54,108,0,FLA
1998,Milwaukee Brewers,NL,74,88,0,MIL
1998,Minnesota Twins,AL,70,92,0,MIN
1998,New York Mets,NL,88,74,0,NYM
1998,New York Yankees,AL,114,48,0,NYY
1998,Oakland Athletics,AL,74,88,0,OAK
1998,Philadelphia Phillies,NL,75,87,0,PHI
1998,Pittsburgh Pirates,NL,69,93,1,PIT
1998,San Diego Padres,NL,98,64,0,SDP
1998,San Francisco Giants,NL,89,74,0,SFG
1998,Seattle Mariners,AL,76,85,0,SEA
1998,St. Louis Cardinals,NL,83,79,1,STL
1998,Tampa Bay Devil Rays,AL,63,99,0,TBD
1998,Texas Rangers,AL,88,74,0,TEX
